,LOCATION,DATE,HOUR,LATITUDE,LONGITUDE,PEDESTRIANS,BICYCLISTS,CARS,BUSES,TRUCKS
0,Campus_Dr_&_Presidential_Ave,10/28/19,0,38.98544,-76.95482,0,0,0,0,0
1,Campus_Dr_&_Presidential_Ave,10/28/19,1,38.98544,-76.95482,0,0,1,0,0
2,Campus_Dr_&_Presidential_Ave,10/28/19,2,38.98544,-76.95482,0,0,2,0,0
3,Campus_Dr_&_Presidential_Ave,10/28/19,3,38.98544,-76.95482,0,0,0,0,0
4,Campus_Dr_&_Presidential_Ave,10/28/19,4,38.98544,-76.95482,0,0,0,0,0
5,Campus_Dr_&_Presidential_Ave,10/28/19,5,38.98544,-76.95482,2,3,2,0,0
6,Campus_Dr_&_Presidential_Ave,10/28/19,6,38.98544,-76.95482,2,0,8,0,0
7,Campus_Dr_&_Presidential_Ave,10/28/19,7,38.98544,-76.95482,7,1,339,15,16
8,Campus_Dr_&_Presidential_Ave,10/28/19,8,38.98544,-76.95482,23,1,522,14,13
9,Campus_Dr_&_Presidential_Ave,10/28/19,9,38.98544,-76.95482,28,7,609,14,17
10,Campus_Dr_&_Presidential_Ave,10/28/19,10,38.98544,-76.95482,26,3,545,6,18
11,Campus_Dr_&_Presidential_Ave,10/28/19,11,38.98544,-76.95482,15,8,449,8,23
12,Campus_Dr_&_Presidential_Ave,10/28/19,12,38.98544,-76.95482,15,9,415,8,27
13,Campus_Dr_&_Presidential_Ave,10/28/19,13,38.98544,-76.95482,16,1,389,7,10
14,Campus_Dr_&_Presidential_Ave,10/28/19,14,38.98544,-76.95482,28,11,352,9,23
15,Campus_Dr_&_Presidential_Ave,10/28/19,15,38.98544,-76.95482,25,5,340,13,10
16,Campus_Dr_&_Presidential_Ave,10/28/19,16,38.98544,-76.95482,17,6,246,4,0
17,Campus_Dr_&_Presidential_Ave,10/28/19,17,38.98544,-76.95482,33,20,423,11,8
18,Campus_Dr_&_Presidential_Ave,10/28/19,18,38.98544,-76.95482,10,2,418,4,8
19,Campus_Dr_&_Presidential_Ave,10/28/19,19,38.98544,-76.95482,0,0,18,0,0
20,Campus_Dr_&_Presidential_Ave,10/28/19,20,38.98544,-76.95482,1,1,8,0,1
21,Campus_Dr_&_Presidential_Ave,10/28/19,21,38.98544,-76.95482,0,0,9,0,0
22,Campus_Dr_&_Presidential_Ave,10/28/19,22,38.98544,-76.95482,3,1,3,0,0
23,Campus_Dr_&_Presidential_Ave,10/28/19,23,38.98544,-76.95482,0,0,2,0,0
24,Campus_Dr_&_Presidential_Ave,10/29/19,0,38.98544,-76.95482,0,0,0,0,0
25,Campus_Dr_&_Presidential_Ave,10/29/19,1,38.98544,-76.95482,0,0,0,0,0
26,Campus_Dr_&_Presidential_Ave,10/29/19,2,38.98544,-76.95482,0,0,0,0,0
