,DATE,TIMING,PEDESTRIANS,BICYCLISTS,CARS,BUSES,TRUCKS
0,2019-10-28,00:00:00,0,0,0,0,0
1,2019-10-28,00:15:00,0,0,0,0,0
2,2019-10-28,00:30:00,0,0,0,0,0
3,2019-10-28,00:45:00,0,0,0,0,0
4,2019-10-28,01:00:00,0,0,0,0,0
5,2019-10-28,01:15:00,0,0,0,0,0
6,2019-10-28,01:30:00,0,0,1,0,0
7,2019-10-28,01:45:00,0,0,0,0,0
8,2019-10-28,02:00:00,0,0,1,0,0
9,2019-10-28,02:15:00,0,0,0,0,0
10,2019-10-28,02:30:00,0,0,0,0,0
11,2019-10-28,02:45:00,0,0,1,0,0
12,2019-10-28,03:00:00,0,0,0,0,0
13,2019-10-28,03:15:00,0,0,0,0,0
14,2019-10-28,03:30:00,0,0,0,0,0
15,2019-10-28,03:45:00,0,0,0,0,0
16,2019-10-28,04:00:00,0,0,0,0,0
17,2019-10-28,04:15:00,0,0,0,0,0
18,2019-10-28,04:30:00,0,0,0,0,0
19,2019-10-28,04:45:00,0,0,0,0,0
20,2019-10-28,05:00:00,0,0,0,0,0
21,2019-10-28,05:15:00,0,0,1,0,0
22,2019-10-28,05:30:00,2,3,1,0,0
23,2019-10-28,05:45:00,0,0,0,0,0
24,2019-10-28,06:00:00,0,0,4,0,0
25,2019-10-28,06:15:00,0,0,0,0,0
26,2019-10-28,06:30:00,0,0,2,0,0
27,2019-10-28,06:45:00,2,0,2,0,0
28,2019-10-28,07:00:00,1,1,15,1,0
29,2019-10-28,07:15:00,1,0,75,4,5
30,2019-10-28,07:30:00,2,0,100,3,5
31,2019-10-28,07:45:00,3,0,149,7,6
32,2019-10-28,08:00:00,5,0,134,2,6
33,2019-10-28,08:15:00,12,1,98,4,3
34,2019-10-28,08:30:00,6,0,141,4,3
35,2019-10-28,08:45:00,0,0,149,4,1
36,2019-10-28,09:00:00,4,2,136,1,1
37,2019-10-28,09:15:00,2,0,131,5,5
38,2019-10-28,09:30:00,11,1,189,1,6
39,2019-10-28,09:45:00,11,4,153,7,5
40,2019-10-28,10:00:00,8,1,128,1,5
41,2019-10-28,10:15:00,9,1,111,2,4
42,2019-10-28,10:30:00,1,0,151,2,2
43,2019-10-28,10:45:00,8,1,155,1,7
44,2019-10-28,11:00:00,5,4,129,2,8
45,2019-10-28,11:15:00,3,1,83,2,6
46,2019-10-28,11:30:00,2,3,110,3,6
47,2019-10-28,11:45:00,5,0,127,1,3
48,2019-10-28,12:00:00,6,1,119,1,11
49,2019-10-28,12:15:00,2,2,99,3,6
50,2019-10-28,12:30:00,4,5,89,1,6
51,2019-10-28,12:45:00,3,1,108,3,4
52,2019-10-28,13:00:00,6,0,99,1,3
53,2019-10-28,13:15:00,3,1,88,4,3
54,2019-10-28,13:30:00,1,0,93,0,1
55,2019-10-28,13:45:00,6,0,109,2,3
56,2019-10-28,14:00:00,7,3,127,5,13
57,2019-10-28,14:15:00,8,1,56,2,8
58,2019-10-28,14:30:00,6,7,80,1,1
59,2019-10-28,14:45:00,7,0,89,1,1
60,2019-10-28,15:00:00,13,1,109,3,2
61,2019-10-28,15:15:00,7,1,102,4,5
62,2019-10-28,15:30:00,5,2,62,4,2
63,2019-10-28,15:45:00,0,1,67,2,1
64,2019-10-28,16:00:00,1,0,47,0,0
65,2019-10-28,16:15:00,6,3,67,1,0
66,2019-10-28,16:30:00,7,3,68,3,0
67,2019-10-28,16:45:00,3,0,64,0,0
68,2019-10-28,17:00:00,1,5,69,2,0
69,2019-10-28,17:15:00,13,1,99,2,0
70,2019-10-28,17:30:00,5,0,122,3,2
71,2019-10-28,17:45:00,14,14,133,4,6
72,2019-10-28,18:00:00,5,0,187,1,2
73,2019-10-28,18:15:00,5,0,186,3,6
74,2019-10-28,18:30:00,0,2,40,0,0
75,2019-10-28,18:45:00,0,0,5,0,0
76,2019-10-28,19:00:00,0,0,2,0,0
77,2019-10-28,19:15:00,0,0,7,0,0
78,2019-10-28,19:30:00,0,0,2,0,0
79,2019-10-28,19:45:00,0,0,7,0,0
80,2019-10-28,20:00:00,0,0,2,0,0
81,2019-10-28,20:15:00,1,1,2,0,1
82,2019-10-28,20:30:00,0,0,3,0,0
83,2019-10-28,20:45:00,0,0,1,0,0
84,2019-10-28,21:00:00,0,0,1,0,0
85,2019-10-28,21:15:00,0,0,2,0,0
86,2019-10-28,21:30:00,0,0,4,0,0
87,2019-10-28,21:45:00,0,0,2,0,0
88,2019-10-28,22:00:00,1,0,2,0,0
89,2019-10-28,22:15:00,2,0,1,0,0
90,2019-10-28,22:30:00,0,1,0,0,0
91,2019-10-28,22:45:00,0,0,0,0,0
92,2019-10-28,23:00:00,0,0,0,0,0
93,2019-10-28,23:15:00,0,0,2,0,0
94,2019-10-28,23:30:00,0,0,0,0,0
95,2019-10-28,23:45:00,0,0,0,0,0
96,2019-10-29,00:00:00,0,0,0,0,0
97,2019-10-29,00:15:00,0,0,0,0,0
98,2019-10-29,00:30:00,0,0,0,0,0
99,2019-10-29,00:45:00,0,0,0,0,0
100,2019-10-29,01:00:00,0,0,0,0,0
101,2019-10-29,01:15:00,0,0,0,0,0
102,2019-10-29,01:30:00,0,0,0,0,0
103,2019-10-29,01:45:00,0,0,0,0,0
104,2019-10-29,02:00:00,0,0,0,0,0
105,2019-10-29,02:15:00,0,0,0,0,0
106,2019-10-29,02:30:00,0,0,0,0,0
107,2019-10-29,02:45:00,0,0,0,0,0
108,2019-10-29,03:00:00,0,0,0,0,0
109,2019-10-29,03:15:00,0,0,0,0,0
110,2019-10-29,03:30:00,0,0,0,0,0
111,2019-10-29,03:45:00,0,0,0,0,0
112,2019-10-29,04:00:00,0,0,1,0,0
113,2019-10-29,04:15:00,0,0,0,0,0
114,2019-10-29,04:30:00,0,0,0,0,0
115,2019-10-29,04:45:00,0,0,0,0,0
116,2019-10-29,05:00:00,0,0,0,0,0
117,2019-10-29,05:15:00,0,0,0,0,0
118,2019-10-29,05:30:00,0,0,0,0,0
119,2019-10-29,05:45:00,0,0,0,0,0
120,2019-10-29,06:00:00,0,0,2,0,0
121,2019-10-29,06:15:00,0,0,1,0,0
122,2019-10-29,06:30:00,0,0,1,0,0
123,2019-10-29,06:45:00,5,2,2,0,0
124,2019-10-29,07:00:00,0,0,18,0,0
125,2019-10-29,07:15:00,3,0,54,2,4
126,2019-10-29,07:30:00,11,0,102,3,6
127,2019-10-29,07:45:00,5,1,128,8,9
128,2019-10-29,08:00:00,28,6,157,4,10
129,2019-10-29,08:15:00,1,0,178,6,5
130,2019-10-29,08:30:00,16,1,201,5,1
131,2019-10-29,08:45:00,20,9,273,3,10
132,2019-10-29,09:00:00,12,0,360,1,3
133,2019-10-29,09:15:00,25,0,255,4,9
134,2019-10-29,09:30:00,10,0,244,3,5
135,2019-10-29,09:45:00,20,9,146,5,6
136,2019-10-29,10:00:00,11,1,105,1,8
137,2019-10-29,10:15:00,11,2,163,2,2
138,2019-10-29,10:30:00,11,0,260,2,14
139,2019-10-29,10:45:00,9,1,226,3,8
140,2019-10-29,11:00:00,12,4,147,4,7
141,2019-10-29,11:15:00,4,0,95,1,8
142,2019-10-29,11:30:00,5,2,134,5,7
143,2019-10-29,11:45:00,12,2,128,1,3
144,2019-10-29,12:00:00,10,1,198,1,9
145,2019-10-29,12:15:00,15,0,191,3,7
146,2019-10-29,12:30:00,15,8,136,1,8
147,2019-10-29,12:45:00,2,0,142,3,2
148,2019-10-29,13:00:00,12,0,156,2,11
149,2019-10-29,13:15:00,22,4,144,5,6
150,2019-10-29,13:30:00,10,0,189,1,5
151,2019-10-29,13:45:00,15,4,167,3,10
152,2019-10-29,14:00:00,22,1,155,6,9
153,2019-10-29,14:15:00,21,1,148,3,6
154,2019-10-29,14:30:00,5,1,161,1,10
155,2019-10-29,14:45:00,6,2,132,3,9
156,2019-10-29,15:00:00,17,3,146,3,7
157,2019-10-29,15:15:00,22,0,214,3,6
158,2019-10-29,15:30:00,17,20,188,3,13
159,2019-10-29,15:45:00,28,7,173,5,6
160,2019-10-29,16:00:00,23,1,188,1,10
161,2019-10-29,16:15:00,9,0,207,7,5
162,2019-10-29,16:30:00,14,3,189,3,5
163,2019-10-29,16:45:00,49,31,263,2,7
164,2019-10-29,17:00:00,24,5,268,5,9
165,2019-10-29,17:15:00,24,14,241,5,6
166,2019-10-29,17:30:00,14,4,185,4,4
167,2019-10-29,17:45:00,8,2,192,3,4
168,2019-10-29,18:00:00,13,1,214,2,4
169,2019-10-29,18:15:00,9,1,214,2,2
170,2019-10-29,18:30:00,0,0,35,0,0
171,2019-10-29,18:45:00,0,0,11,1,2
172,2019-10-29,19:00:00,0,0,5,0,0
173,2019-10-29,19:15:00,1,0,4,0,0
174,2019-10-29,19:30:00,0,0,5,0,0
175,2019-10-29,19:45:00,1,0,5,0,0
176,2019-10-29,20:00:00,1,0,2,0,0
177,2019-10-29,20:15:00,2,0,5,0,0
178,2019-10-29,20:30:00,0,0,3,0,0
179,2019-10-29,20:45:00,0,0,3,0,0
180,2019-10-29,21:00:00,0,0,2,0,0
181,2019-10-29,21:15:00,0,0,3,1,0
182,2019-10-29,21:30:00,0,0,5,0,0
183,2019-10-29,21:45:00,0,0,1,0,0
184,2019-10-29,22:00:00,0,0,1,0,0
185,2019-10-29,22:15:00,0,0,0,0,0
186,2019-10-29,22:30:00,0,0,1,0,0
187,2019-10-29,22:45:00,0,0,1,0,0
188,2019-10-29,23:00:00,0,0,0,0,0
189,2019-10-29,23:15:00,0,0,1,0,0
190,2019-10-29,23:30:00,0,0,1,0,0
191,2019-10-29,23:45:00,0,0,0,0,0
192,2019-10-30,00:00:00,0,0,0,0,0
193,2019-10-30,00:15:00,0,0,0,0,0
194,2019-10-30,00:30:00,0,0,0,0,0
195,2019-10-30,00:45:00,0,0,0,0,0
196,2019-10-30,01:00:00,0,0,0,0,0
197,2019-10-30,01:15:00,0,0,0,0,0
198,2019-10-30,01:30:00,0,0,1,0,0
199,2019-10-30,01:45:00,0,0,0,0,0
200,2019-10-30,02:00:00,0,0,1,0,0
201,2019-10-30,02:15:00,0,0,0,0,0
202,2019-10-30,02:30:00,0,0,0,0,0
203,2019-10-30,02:45:00,0,0,0,0,0
204,2019-10-30,03:00:00,0,0,0,0,0
205,2019-10-30,03:15:00,0,0,0,0,0
206,2019-10-30,03:30:00,0,0,0,0,0
207,2019-10-30,03:45:00,0,0,0,0,0
208,2019-10-30,04:00:00,0,0,0,0,0
209,2019-10-30,04:15:00,0,0,0,0,0
210,2019-10-30,04:30:00,0,0,0,0,0
211,2019-10-30,04:45:00,0,0,1,0,0
212,2019-10-30,05:00:00,0,0,0,0,0
213,2019-10-30,05:15:00,0,0,0,0,0
214,2019-10-30,05:30:00,1,0,0,0,0
215,2019-10-30,05:45:00,0,0,0,0,0
216,2019-10-30,06:00:00,1,0,0,0,0
217,2019-10-30,06:15:00,0,0,1,0,0
218,2019-10-30,06:30:00,0,0,2,0,0
219,2019-10-30,06:45:00,3,0,6,0,0
220,2019-10-30,07:00:00,3,0,12,0,0
221,2019-10-30,07:15:00,2,2,52,1,3
222,2019-10-30,07:30:00,1,0,130,4,8
223,2019-10-30,07:45:00,14,5,178,7,6
224,2019-10-30,08:00:00,17,0,165,2,5
225,2019-10-30,08:15:00,6,0,182,4,7
226,2019-10-30,08:30:00,16,3,254,6,6
227,2019-10-30,08:45:00,13,3,289,3,17
228,2019-10-30,09:00:00,16,0,305,2,13
229,2019-10-30,09:15:00,6,4,231,5,12
230,2019-10-30,09:30:00,22,3,263,1,10
231,2019-10-30,09:45:00,37,1,250,4,17
232,2019-10-30,10:00:00,45,2,248,2,12
233,2019-10-30,10:15:00,43,0,210,2,10
234,2019-10-30,10:30:00,20,0,196,2,6
235,2019-10-30,10:45:00,32,1,219,4,12
236,2019-10-30,11:00:00,25,1,159,5,14
237,2019-10-30,11:15:00,50,14,148,0,9
238,2019-10-30,11:30:00,25,12,185,3,10
239,2019-10-30,11:45:00,26,2,192,2,6
240,2019-10-30,12:00:00,18,3,142,2,14
241,2019-10-30,12:15:00,19,1,168,6,1
242,2019-10-30,12:30:00,10,6,182,0,9
243,2019-10-30,12:45:00,9,1,165,4,4
244,2019-10-30,13:00:00,14,3,120,4,3
245,2019-10-30,13:15:00,21,1,153,6,14
246,2019-10-30,13:30:00,10,3,171,0,7
247,2019-10-30,13:45:00,5,0,196,4,5
248,2019-10-30,14:00:00,12,1,161,5,15
249,2019-10-30,14:15:00,1,1,122,0,6
250,2019-10-30,14:30:00,16,0,137,4,4
251,2019-10-30,14:45:00,13,0,131,4,15
252,2019-10-30,15:00:00,18,9,209,4,10
253,2019-10-30,15:15:00,17,1,191,3,10
254,2019-10-30,15:30:00,19,1,172,4,10
255,2019-10-30,15:45:00,19,1,181,4,6
256,2019-10-30,16:00:00,8,0,189,3,13
257,2019-10-30,16:15:00,22,3,187,5,6
258,2019-10-30,16:30:00,17,0,177,5,9
259,2019-10-30,16:45:00,30,2,244,3,11
260,2019-10-30,17:00:00,14,0,322,1,11
261,2019-10-30,17:15:00,7,9,202,7,6
